"Country EN","Region 1 EN","Region 1 Local Language","Region 1 Latitude","Region 1 Longitude","Region 2 EN","Region 2 Latitude","Region 2 Longitude","Region 3 EN","Region 3 Latitude","Region 3 Longitude","Region 4 EN","Region 4 Latitude","Region 4 Longitude","Region 5 EN","Region 5 Latitude","Region 5 Longitude","Region 6 EN","Region 6 Text Description","Region 6 Latitude","Region 6 Longitude"
"Canada","Ontario",,"48,806863","-83,144531","Niagara Peninsula","43,036776","-79,453125","Niagara-on-the-Lake","43,195165","-79,108601","Four Mile Creek","43,192161","-79,126968",,,,,,,
"Canada","Ontario",,"48,806863","-83,144531","Niagara Peninsula","43,036776","-79,453125","Niagara-on-the-Lake","43,195165","-79,108601","Niagara Lakeshore","43,235699","-79,146194",,,,,,,
"Canada","Ontario",,"48,806863","-83,144531","Niagara Peninsula","43,036776","-79,453125","Niagara-on-the-Lake","43,195165","-79,108601","Niagara River","43,202673","-79,070663",,,,,,,
"Canada","Ontario",,"48,806863","-83,144531","Niagara Peninsula","43,036776","-79,453125","Niagara-on-the-Lake","43,195165","-79,108601","St David's Bench","43,16362","-79,111862",,,,,,,
"Canada","Ontario",,"48,806863","-83,144531","Niagara Peninsula","43,036776","-79,453125","Vinemount Ridge","43,040791","-79,444885",,,,,,,,,,
"Canada","Ontario",,"48,806863","-83,144531","Pelee Island","41,774489","-82,659146",,,,,,,,,,,,,
"Canada","Ontario",,"48,806863","-83,144531","Prince Edward County",44,"-77,25",,,,,,,,,,,,,
"Canada","Quebec",,"46,8057","-71,238098",,,,,,,,,,,,,,,,
"Canada","Saskatchewan",,"54,673831","-106,171875",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Chile","Aconcagua Valley",,"-32,934929","-70,861816",,,,,,,,,,,,,,,,
"Chile","Atacama",,"-27,566056","-70,050314",,,,,,,,,,,,,,,,
"Chile","Bio Bio Valley",,"-36,993778","-72,333984",,,,,,,,,,,,,,,,
"Chile","Casablanca Valley",,"-33,300691","-71,408386",,,,,,,,,,,,,,,,
"Chile","Central Valley - Chile",,"-34,597042","-71,18042","Curico Valley","-34,939985","-71,235352","Lontue","-35,021","-71,251831",,,,,,,,,,
"Chile","Central Valley - Chile",,"-34,597042","-71,18042","Curico Valley","-34,939985","-71,235352","Teno","-34,860062","-71,152893",,,,,,,,,,
"Chile","Central Valley - Chile",,"-34,597042","-71,18042","Maipo Valley","-33,916013","-70,762939","Pirque","-33,626055","-70,565186",,,,,,,,,,
"Chile","Central Valley - Chile",,"-34,597042","-71,18042","Maipo Valley","-33,916013","-70,762939","Puente Alto","-33,615768","-70,569649",,,,,,,,,,
"Chile","Central Valley - Chile",,"-34,597042","-71,18042","Maipo Valley","-33,916013","-70,762939","Santiago","-33,416667","-70,55",,,,,,,,,,
"Chile","Central Valley - Chile",,"-34,597042","-71,18042","Maipo Valley","-33,916013","-70,762939","Talagante","-33,666667","-70,866667",,,,,,,,,,
"Chile","Central Valley - Chile",,"-34,597042","-71,18042","Maule Valley","-35,5054","-71,691284","Loncomilla",,,,,,,,,,,,
"Chile","Central Valley - Chile",,"-34,597042","-71,18042","Rapel Valley","-34,51561","-71,246338","Cachapoal Valley","-34,285588","-70,993652",,,,,,,,,,
"Chile","Central Valley - Chile",,"-34,597042","-71,18042","Rapel Valley","-34,51561","-71,246338","Colchagua Valley","-34,284453","-70,944214","Apalta","-34,578952","-71,375427",,,,,,,
"Chile","Central Valley - Chile",,"-34,597042","-71,18042","Rapel Valley","-34,51561","-71,246338","Colchagua Valley","-34,284453","-70,944214","Lolol","-34,726111","-71,644722",,,,,,,
"Chile","Central Valley - Chile",,"-34,597042","-71,18042","Rapel Valley","-34,51561","-71,246338","Colchagua Valley","-34,284453","-70,944214","Peralillo","-34,4875","-71,491667",,,,,,,
"Chile","Elqui Valley",,"-29,954935","-71,345215",,,,,,,,,,,,,,,,
"Chile","Itata Valley",,"-37,028869","-73,092041",,,,,,,,,,,,,,,,
"Chile","Limari Valley",,"-30,39183","-70,817871",,,,,,,,,,,,,,,,
"Chile","Malleco Valley",,"-38,163561","-72,520483",,,,,,,,,,,,,,,,
"Chile","San Antonio Valley - Chile",,"-33,628342","-71,625366","Leyda Valley","-33,641491","-71,575928",,,,,,,,,,,,,
